N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,2,3000,0.001,,5.0,0.0,,1.05710402367295,0.47136666666666666,1.0687399924557197,0.4801,0.3958558455306432,0,2.183371898654823,0.00019853659437654242,10,1.0,2.2189670340670564,-1.0,671,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,1.0430998586254852,0.4691,1.0400954801138347,0.4679,0.5531312639614402,0,2.14245809833341,0.00015621068803909813,10,1.0,2.2127089501979222,-1.0,674,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.0374792037994127,0.46216666666666667,1.0522090583983923,0.47053333333333336,0.5757218032932067,0,2.165668294279194,0.00010721311087729727,10,1.0,2.240887046603049,-1.0,698,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.0476584480177005,0.4607,1.0484822927171757,0.4675666666666667,0.5633922099676102,0,2.179253765733671,0.0006316090140290253,10,1.0,2.2509015433191593,-1.0,711,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,1.0266531363936864,0.457,1.0362400429291883,0.4655,0.6026348425978181,0,2.1565941092662486,0.00016797237945753753,10,1.0,2.2392112239882107,-1.0,691,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.0254702724386207,0.46116666666666667,1.0346801985263483,0.4660666666666667,0.576408853351291,0,2.1277341708798625,0.0001296927858980895,10,1.0,2.204427333379707,-1.0,684,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.040209515371567,0.46473333333333333,1.0486063104493806,0.4702,0.5637833992304336,0,2.165929048942636,0.00015889155268873498,10,1.0,2.2381019561899707,-1.0,703,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,1.0359931148709642,0.4616,1.0530102610964667,0.4704333333333333,0.5875402298089603,0,2.1630670022230327,0.00010017170484436347,10,1.0,2.2414420308698824,-1.0,699,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,1.3472272115783945,0.46276666666666666,1.368198289893753,0.46926666666666667,0.8834214869810031,0,3.1816073324515903,0.0004473112971388797,20,1.0,3.301978004404247,-1.0,1366,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,1.3561777506399513,0.45993333333333336,1.3729052591737798,0.4709333333333333,0.8808551564084149,0,3.1975414702009055,0.000328633371119262,20,1.0,3.316651513232263,-1.0,1362,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,1.4188206026436814,0.4708,1.452195338472977,0.48246666666666665,0.5943467418311551,0,3.339120667245524,0.0003148297468139752,20,1.0,3.3916035853194137,-1.0,1370,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,1.3414642145415123,0.4572333333333333,1.3596244217762732,0.46223333333333333,0.9292284693039694,0,3.202258455501549,0.0012113272447656258,20,1.0,3.334355224626819,-1.0,1386,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.3617803726676854,0.4623333333333333,1.3869310274815767,0.46903333333333336,0.8646767047531483,0,3.230703443734506,0.0002860087001413908,20,1.0,3.344414828501506,-1.0,1390,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.341038576456084,0.4618333333333333,1.3633611396495724,0.4674333333333333,0.8866572664045431,0,3.155740619803353,0.0005410944506861908,20,1.0,3.2779353208299926,-1.0,1368,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,1.348230867064782,0.4601,1.364674842955347,0.46913333333333335,0.8971261352562034,0,3.1963196819535247,0.00032388700832753015,20,1.0,3.3198335518220206,-1.0,1397,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.352509412442529,0.45816666666666667,1.369416472366662,0.4658,0.8803615721234742,0,3.2084502867944296,0.00025876482124926134,20,1.0,3.3270391852971875,-1.0,1385,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.3403886309336752,0.46003333333333335,1.3623222037681364,0.46873333333333334,0.8495765009403818,0,3.1776517517052136,0.0002612038520241893,20,1.0,3.2892629700383207,-1.0,1368,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,1.33787433904931,0.46323333333333333,1.3582138152948755,0.46823333333333333,0.8569213872619681,0,3.1611928202077135,0.0003819435538564805,20,1.0,3.2752792721353967,-1.0,1362,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,1.6710461141777215,0.4650666666666667,1.715046653821444,0.4703,1.1292921057094856,0,4.17172284824849,0.0005377961162956137,30,1.0,4.321871375066159,-1.0,2056,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,1.6517098364986817,0.45963333333333334,1.6868865331376908,0.47176666666666667,1.1891951194820716,0,4.116761086203749,0.0003637232712455063,30,1.0,4.285079564381675,-1.0,2055,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,1.7181795660644485,0.465,1.7487185716971618,0.4750333333333333,0.9174996849196966,0,4.260891097441385,0.001317448895209025,30,1.0,4.3585546475962635,-1.0,2050,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,1.6655280107199544,0.4617,1.7060217329653795,0.4708,1.162011929074464,0,4.181512887127076,0.0007590911462934415,30,1.0,4.339967943259625,-1.0,2077,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.660609125283732,0.46063333333333334,1.695626814395539,0.4689,1.1611120534518444,0,4.1686604408358825,0.00041900296653908875,30,1.0,4.327344575101591,-1.0,2070,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.6677411920465988,0.46386666666666665,1.7184155841015236,0.4686,1.1715478673152997,0,4.20356907632805,0.0007986298531891366,30,1.0,4.363773296686308,-1.0,2054,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,1.6689825363279263,0.4625666666666667,1.7009347820219527,0.46823333333333333,1.1950603201274357,0,4.162280291352481,0.0006166884434175036,30,1.0,4.330444133402991,-1.0,2059,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.6516577425469625,0.45976666666666666,1.6942244446454302,0.4670666666666667,1.1982185516230648,0,4.164114055845362,0.0008683951150997727,30,1.0,4.333078993919057,-1.0,2049,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.6710319524379382,0.46273333333333333,1.698931245415281,0.4682,1.1833549803218353,0,4.16357758150469,0.00062424752759403,30,1.0,4.328476323911329,-1.0,2021,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,1.6678065484420639,0.46426666666666666,1.7022388601465037,0.4688,1.1679479645198714,0,4.159174528577462,0.0018431723779232865,30,1.0,4.320050370886161,-1.0,2062,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,2.0194401340976826,0.46273333333333333,2.0511600395761116,0.46846666666666664,1.4417992302332752,0,5.171313774160356,0.0005206851466733266,40,1.0,5.368544604557355,-1.0,2775,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,2.033761621034833,0.46226666666666666,2.0608665580297143,0.46963333333333335,1.5096674007984112,0,5.195279664291226,0.003125564386644084,40,1.0,5.410178042470634,-1.0,2757,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,2.085013823292146,0.4661,2.131080621598461,0.4733,1.2464011143949352,0,5.342752014200581,0.0010070680345762363,40,1.0,5.4862113359958435,-1.0,2753,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,2.0089571934627455,0.46266666666666667,2.052983574007773,0.4700666666666667,1.489434080323814,0,5.132899147192613,0.0021859702409807885,40,1.0,5.344629784641842,-1.0,2767,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,1.9931794426869547,0.4604,2.052548801668196,0.4693333333333333,1.4588305150074938,0,5.146094777157527,0.003918709505086375,40,1.0,5.348876323771658,-1.0,2743,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,1.994018817992732,0.4627,2.0251249616902602,0.4683333333333333,1.5103918222985382,0,5.114054916502545,0.0005742858568424211,40,1.0,5.33243294808947,-1.0,2749,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,2.0305551853253823,0.4638333333333333,2.05678468749873,0.46536666666666665,1.5251743793595522,0,5.1887019843991755,0.0011461443015331886,40,1.0,5.408214600990122,-1.0,2770,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,1.993011587236612,0.4632,2.030023091462854,0.46703333333333336,1.4694473577297156,0,5.114924992619535,0.0006521601100171697,40,1.0,5.321816721502423,-1.0,2735,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,1.993497379572191,0.4632,2.030233953834672,0.47113333333333335,1.4841241617477696,0,5.091666957314254,0.0026706423698449476,40,1.0,5.3035551219619945,-1.0,2729,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,2.000408427028798,0.4630666666666667,2.020938905344378,0.4686666666666667,1.4590261427463591,0,5.101060580239123,0.001608310653248052,40,1.0,5.305617431410488,-1.0,2731,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,2.3995834235904825,0.4642,2.430977819743084,0.46316666666666667,1.8634284306204276,0,6.274932069364872,0.0047909641259666685,50,1.0,6.5457725282191275,-1.0,3458,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,2.3413529095473775,0.4618,2.4255932065254004,0.46903333333333336,1.8098893213452605,0,6.146865892938557,0.0020127770176153613,50,1.0,6.407781180821559,-1.0,3446,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,2.4363991371149174,0.46576666666666666,2.5020162788633495,0.4704333333333333,1.6153626486452477,0,6.401554488852457,0.0013728137316987743,50,1.0,6.602219048197752,-1.0,3437,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,2.350874028316286,0.4633333333333333,2.3666516249662832,0.46436666666666665,1.8063792960454486,0,6.096573168454357,0.0011943315544528494,50,1.0,6.35855412491702,-1.0,3435,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,2.3752209844180365,0.4622,2.4422920924357556,0.46663333333333334,1.802082060890179,0,6.223504098480958,0.0012899203335034338,50,1.0,6.4791591289295765,-1.0,3427,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,2.3806658833517105,0.46136666666666665,2.4243673310116813,0.46426666666666666,1.833239016577115,0,6.2130042256175955,0.0009934567339823445,50,1.0,6.477822689719342,-1.0,3430,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,2.372329103452677,0.46526666666666666,2.3957189931842753,0.46403333333333335,1.7979621383786064,0,6.164946642662795,0.0009783223738239638,50,1.0,6.4217781772591795,-1.0,3446,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,2.3734417010728337,0.4624333333333333,2.4377560299917613,0.4665,1.827873102617496,0,6.195596853001508,0.0011841407996036589,50,1.0,6.459608381643171,-1.0,3427,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,2.364871186587456,0.46213333333333334,2.385626540163321,0.46613333333333334,1.7693282183834966,0,6.142818594912436,0.0017989719743795392,50,1.0,6.392553686467569,-1.0,3412,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,2.3739132726377226,0.46496666666666664,2.425434053652907,0.4692,1.754340626274003,0,6.1473687055972075,0.0009006984464092855,50,1.0,6.39279696498734,-1.0,3396,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,2.8027426374938558,0.4627,2.827740569145583,0.4695,2.1153311534814683,0,7.327580160071573,0.0017586213263255921,60,1.0,7.62679860040658,-1.0,4098,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,2.7882157749016523,0.4656666666666667,2.854653466991731,0.46703333333333336,2.1391283098154092,0,7.3977876616361335,0.0036226254638069217,60,1.0,7.700852693858619,-1.0,4131,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,2.8685518400700722,0.46436666666666665,2.902517959745084,0.47136666666666666,2.0283313419755964,0,7.514338612322485,0.0019432670622275038,60,1.0,7.78327776797675,-1.0,4117,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,2.763498994331091,0.4593,2.8097538406297997,0.46523333333333333,2.251235916822553,0,7.279530443693763,0.001234419873385066,60,1.0,7.619686780561009,-1.0,4117,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,2.8159190599672708,0.4640666666666667,2.8756849173945898,0.46963333333333335,2.180933645255914,0,7.4333479553228266,0.002020839458152722,60,1.0,7.746685316308602,-1.0,4138,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,2.7860604271772025,0.4624,2.8240252603268563,0.4679,2.1660042596814484,0,7.34211997906991,0.002177776196929015,60,1.0,7.6549526608605305,-1.0,4105,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,2.7879229083829986,0.4618333333333333,2.854025509632887,0.4684,2.196569714162221,0,7.382217505675721,0.0024478014064420435,60,1.0,7.702081135010183,-1.0,4139,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,2.8403065890988612,0.4645,2.864474360932897,0.4693,2.1527923619649245,0,7.435681555500543,0.00193357296213052,60,1.0,7.741051294788421,-1.0,4099,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,2.7466422873069405,0.46213333333333334,2.819594553842778,0.46763333333333335,2.115679959338615,0,7.322991283777924,0.001524801009076952,60,1.0,7.622486669888934,-1.0,4076,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,2.772349820655955,0.4588333333333333,2.829418003907689,0.4645,2.167141469317057,0,7.3800434224873515,0.0047095269108271744,60,1.0,7.691654117667572,-1.0,4091,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,3.218624799849287,0.46173333333333333,3.2716747322460873,0.46486666666666665,2.5783437511628735,0,8.552378779277072,0.004227979019300979,70,1.0,8.932583012958201,-1.0,4770,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,3.2503567454277675,0.4640666666666667,3.2852104800797823,0.46896666666666664,2.6047239716287436,0,8.5918286911194,0.0027862872499264074,70,1.0,8.97797901678991,-1.0,4759,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,3.2543149349109397,0.4598,3.3118912183767186,0.4665,2.6247806339810387,0,8.664610548867655,0.002920561335273606,70,1.0,9.053449582345426,-1.0,4799,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,3.190503244658084,0.45843333333333336,3.2689753467737144,0.46573333333333333,2.697073874391619,0,8.603549643776525,0.002550028632007811,70,1.0,9.0163891861905,-1.0,4793,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,3.2597274553792843,0.4651666666666667,3.3176736881621967,0.467,2.5426027992633147,0,8.689517567917957,0.002659673142628857,70,1.0,9.053869038039839,-1.0,4824,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,3.2848058747116484,0.46266666666666667,3.302384051469102,0.4637,2.7211322442809647,0,8.669983272714093,0.012341487208494298,70,1.0,9.086978080748723,-1.0,4855,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,3.2207309198291503,0.4604666666666667,3.315635549134395,0.4684,2.719750020524471,0,8.636433031749986,0.004012357360556101,70,1.0,9.054557730007861,-1.0,4824,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,3.218475690067314,0.4609666666666667,3.281741762899294,0.4666,2.640098589281731,0,8.603141263702094,0.005795800020621173,70,1.0,8.999119966104523,-1.0,4798,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,3.225132411673169,0.46176666666666666,3.2407129618136303,0.46403333333333335,2.5700851029025467,0,8.602013688668434,0.008654375567632643,70,1.0,8.977748990487576,-1.0,4771,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,3.2177308473853774,0.4595,3.293007109488863,0.4637,2.6666355147733625,0,8.658397173223175,0.0030437297033461767,70,1.0,9.05973435471094,-1.0,4795,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,3.5320950679884313,0.4562333333333333,3.6183611488074536,0.46826666666666666,2.9492867411964054,0,9.496286108468517,0.01871597811319022,80,0.9910860469346916,9.943728784298626,-1.0,5497,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,3.584662993571132,0.46676666666666666,3.648391097143637,0.4684333333333333,2.8526370090449946,0,9.536040568746529,0.005689249606828884,80,0.9959736456808199,9.95357260656458,-1.0,5464,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,3.4905507684676484,0.4563333333333333,3.575862216635517,0.4628,3.1847466159541504,0,9.452415829100147,0.005509381363035397,80,0.9934616781692699,9.97450630427664,-1.0,5506,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,3.4792887012894984,0.4604666666666667,3.591769155935502,0.46723333333333333,2.938815483725841,0,9.450424519002038,0.005405326520986772,80,0.989108731167181,9.896825755601725,-1.0,5509,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,3.5235043650595714,0.45926666666666666,3.6136055817299115,0.46526666666666666,2.9544570460936157,0,9.469634852501672,0.006460342122045954,80,0.989477503628447,9.919818580847464,-1.0,5512,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,3.4930457362653975,0.45816666666666667,3.565314423334789,0.4648,3.0302254503770087,0,9.40234720263914,0.004168276289589787,80,0.992522341783695,9.878582853784676,-1.0,5483,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,3.4942902971502248,0.46073333333333333,3.611189693433837,0.46676666666666666,2.938143813708847,0,9.420237341090544,0.016554514565326413,80,0.9849200581395349,9.867804245753572,-1.0,5504,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,3.52115509419835,0.4607,3.587910081467499,0.4634666666666667,3.021218061319798,0,9.44029807923105,0.004162833536082405,80,0.9952502740226525,9.911961783561235,-1.0,5474,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,3.528938488974772,0.4629666666666667,3.585802593146151,0.46413333333333334,2.8848255424411016,0,9.491486572321538,0.015435922536906626,80,0.9897510980966325,9.920208453600189,-1.0,5464,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,3.5287778345712772,0.46086666666666665,3.552079312750817,0.4633,3.057191713942469,0,9.376799904223851,0.004617243395721121,80,0.9897772909821103,9.862595886461683,-1.0,5478,misspec2,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,3.147853143763938,0.4563333333333333,3.1968299270553167,0.46203333333333335,2.852526535683677,0,8.456554752579729,0.006048438079414156,90,0.9347262714609653,8.924697525415544,-1.0,6174,misspec2,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,2.891600299311521,0.4586,2.9240438908094957,0.45643333333333336,2.6517316503364965,0,7.679805737637016,0.006077786805584077,90,0.915445321307779,8.12472134372858,-1.0,6209,misspec2,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,3.072321093693141,0.4564666666666667,3.13785255835347,0.46353333333333335,2.8636946743508878,0,8.203058122797794,0.007792196677705382,90,0.9305870904962699,8.688550497862373,-1.0,6166,misspec2,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,3.1056624651291562,0.4579,3.152734265179068,0.45963333333333334,2.820900780553122,0,8.28373741190475,0.007055559944508589,90,0.933236340122858,8.750873483436704,-1.0,6186,misspec2,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,2.9717607578190646,0.4595,3.015187369210236,0.4598,2.7596871005116537,0,7.926033278177886,0.005986126781599941,90,0.9261115602263541,8.392727591165682,-1.0,6185,misspec2,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,3.0366433999145337,0.4594666666666667,3.074916995301282,0.46336666666666665,2.6888447504817616,0,8.106292775133266,0.008396957466994369,90,0.9266114628998214,8.54060118776021,-1.0,6159,misspec2,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,3.096272823871871,0.4571,3.1498371674359573,0.4635,2.7410887688924475,0,8.266396650506506,0.007081342718032808,90,0.9354210611715074,8.70901149513844,-1.0,6163,misspec2,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,3.0274560862903965,0.45716666666666667,3.090255422938419,0.46123333333333333,2.7053281141932315,0,8.063759903625781,0.007738177400913163,90,0.9237342792647533,8.505470239132412,-1.0,6202,misspec2,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,3.0529822615452553,0.4589666666666667,3.092358236491949,0.46,2.6959487256237415,0,8.117233350487915,0.00712837823787077,90,0.9288227767114523,8.553222597212441,-1.0,6252,misspec2,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,3.0471938269135133,0.45836666666666664,3.10786360337035,0.4589666666666667,2.791283041207402,0,8.118611996372254,0.004796902104895047,90,0.9355724204747295,8.58505222836597,-1.0,6193,misspec2,0.95,0.05
0,0,3000,0.01,,5.0,0.0,,0.7474207698718298,0.4629666666666667,0.7481214760409972,0.4661666666666667,0.2454394760475897,0,0.8883242712671532,3.165460030707321e-05,5,1.0,0.9216075885781508,-1.0,352,misspec2,0.95,0.05
