N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,6,3000,0.001,,5.0,0.0,,0.6225972176183221,0.30946666666666667,0.6274522622560978,0.31203333333333333,1.181015225525653,0,1.5474915733573358,9.876247152507621e-05,10,1.0,1.9466707817541649,-1.0,691,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.6223160909269743,0.3095333333333333,0.6286391917400729,0.3174,1.1575633107041714,0,1.5299045153537911,5.0391650993537864e-05,10,1.0,1.918478731805052,-1.0,684,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.6361734703777545,0.3201333333333333,0.6404061654107344,0.3189,1.1453212484520514,0,1.5747834885323027,5.613034152306633e-05,10,1.0,1.9472297753243542,-1.0,703,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.620509913092874,0.3127,0.6266233409661596,0.3132333333333333,1.171136013034282,0,1.5310104039323411,0.0002036034506007305,10,1.0,1.9275768254404035,-1.0,699,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.6493079946601531,0.29186666666666666,0.6712972573359092,0.30206666666666665,1.7462576661563165,0,2.0550327823760126,0.0001833375557924885,20,1.0,2.6967713238704167,-1.0,1366,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.6468430829891509,0.293,0.6641653036578539,0.29833333333333334,1.7581544508003102,0,2.0363871918083167,0.00021302462098673507,20,1.0,2.6903493951213666,-1.0,1362,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.7420940782276707,0.3229666666666667,0.7579437555719029,0.3264,1.605998206048931,0,2.302416973841456,0.00037531487291835004,20,1.0,2.807196850822121,-1.0,1370,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.6433195648165226,0.2922,0.6558355708293503,0.29546666666666666,1.7597938024100241,0,2.02503121869624,0.00013445794533969134,20,1.0,2.682839105070431,-1.0,1386,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.6540647711996049,0.29513333333333336,0.6618806262068029,0.2981,1.7416114113246863,0,2.0463730821804575,0.00014668773613459667,20,1.0,2.687164509204658,-1.0,1390,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.6427852851070875,0.29296666666666665,0.6598698137071088,0.2993,1.7488234401949818,0,2.0202327414739534,0.00018594103999706728,20,1.0,2.6720261515746393,-1.0,1368,misspec,0.95,0.05
